pcode3,beneficiarios,educacion_ben,nutricion_ben,proteccionGBV_ben,proteccionGeneral_ben,proteccionNNA_ben,salud_ben,seguridad_alimentaria_ben,wash_ben,org_count,estado,pcode1,municipio,pcode2,parroquia,fo,poblacion_2019,ham_2019_ambitos_ge,percent_pobre,pob_pobre,percent_urbana,area_km2,densidad_ppl_km2,razon_de_dependencia_total,razon_de_dependencia_de_menores_de_15_anos,percent_sin_agua_segura,percent_sin_saneamiento_mejorado,percent_analfabeto,promedio_de_personas_por_vivienda,percent_hogares_jefatura_femenina,percent_sin_servicio_electrico,ham_2019_x_violencia_envelope,ham_2019_x_mortalidad_y_salud_envelope,ham_2019_x_pobreza_envelope,promedio_de_edad,pob_menor_de_18,pob_18_y_mas,hogares_2019,matricula_total,pob_analfabeto,pob_sin_agua_segura,pob_sin_servicio_electrico,pob_sin_saneamiento_mejorado,pob_urbana,not_covered_pobre,coverage_percent,coverage_pobre_percent,percent_total_ben,org_present,pob_pobre_score,percent_pobre_score,poverty_score,gap_score
VE010102,12307,9491,2135,0,0,297,2260,86,329,12,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,ANTIMANO,Caracas,141813.95583211284,GRAN CARACAS,0.27058892921331734,38373.2864561161,1,29.2324219363,4851.255778297736,0.4682,0.3993,0.0125,0.008,0.0291,3.58,0.4035,6e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,28.73,46853.6382192303,94960.31761288254,39407.39268100587,22208,4126.786114714484,1772.6744479014105,85.0883734992677,1134.5116466569027,141813.95583211284,26066.286456116097,0.08678271421022697,0.32071790395316685,0.009365417440824156,TRUE,0.2051988289809649,0.22898640269410447,0.2170926158375347,0.18465652617391268
VE010103,3838,660,37,0,0,79,1531,0,3062,8,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,CANDELARIA,Caracas,71449.13852711635,GRAN CARACAS,0.06541710376585695,4673.995709009458,1,1.53403278378,46576.01798513001,0.39399999999999996,0.2483,0.025399999999999995,4e-4,0.0087,3.33,0.45409999999999995,2e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,35.94,15406.173478999186,56042.965048117156,20705.26956053832,10820,621.6075051859121,1814.808118588755,14.289827705423269,28.579655410846538,71449.13852711635,835.9957090094576,0.05371653289484245,0.8211389652331053,0.002920652647914448,TRUE,0.024792807653143453,0.011843137992918685,0.01831797282303107,0.008060211068053071
VE010104,2161,854,156,0,0,301,2864,0,0,8,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,CARICUAO,Caracas,149009.80806532843,GRAN CARACAS,0.15002682888450664,22355.468976730204,1,22.6351313288,6583.120985727816,0.4464,0.3239,0.0121,0.005900000000000001,0.0154,3.95,0.4631,8e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,32.66,40989.27656501026,108020.53150031817,38539.075983807816,22978,2294.751044206058,1803.018677590474,119.20784645226274,879.1578675854378,149009.80806532843,20194.468976730204,0.014502401070489139,0.09666538430705184,0.0016444842032681403,TRUE,0.11944893164642388,0.10138970169709675,0.11041931667176032,0.10502686698239025
VE010105,64,0,37,0,0,27,133,0,0,3,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,CATEDRAL,Caracas,13730.795099133134,GRAN CARACAS,0.18138378771442154,2490.543623411384,1,0.837612066657,16392.785688886044,0.5131,0.4546,0.0052,0.001,0.0106,3.27,0.4949,5e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,27.34,4867.087031695544,8863.70806743759,2429.7822430257506,2766,145.54642805081122,71.4001345154923,6.865397549566567,13.730795099133134,13730.795099133134,2426.543623411384,0.004661055644479066,0.025697200963834946,4.8702910230986107e-5,TRUE,0.013103899821856155,0.13457628760663243,0.0738400937142443,0.07371514380026005
VE010106,1563,1479,84,0,0,0,821,0,0,5,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,COCHE,Caracas,64359.676582295084,GRAN CARACAS,0.23815069594099164,15327.301768610716,1,10.1134003317,6363.80193321949,0.47259999999999996,0.3558,0.007000000000000001,0.0058,0.019299999999999998,3.51,0.4889,0.0014000000000000002,0.8730914467352194,0.28271811240005584,0.1630146801336042,31.79,18667.734340380503,45691.942241914585,17569.442676350285,15739,1242.141758038295,450.51773607606566,90.10354721521313,373.2861241773115,64359.676582295084,13764.301768610716,0.024285392391638756,0.10197489575111772,0.0011894163857973637,TRUE,0.08182429162778013,0.1946554517532056,0.13823987169049284,0.13432303793596592
VE010107,747,23,724,0,0,0,1039,0,0,4,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,EL JUNQUITO,Caracas,54237.55409354695,GRAN CARACAS,0.21220010932313102,11509.214908069895,0.9809,53.1134214074,1021.1647575388606,0.4213,0.3333,0.05600000000000001,0.0345,0.0219,3.33,0.3601,0.0055000000000000005,0.8730914467352194,0.28271811240005584,0.1630146801336042,31.3,15438.4129603308,38799.141133216144,16222.907006066667,13494,1187.8024346486782,3037.3030292386293,298.3065475145082,1871.1956162273698,53201.6168103602,10762.214908069895,0.013772744963970938,0.06490451398871937,5.684542803522909e-4,TRUE,0.06138451843601519,0.16719069100048642,0.11428760471825081,0.11249657698245472
VE010108,3338,2446,168,0,29,727,1895,0,0,6,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,EL PARAISO,Caracas,117805.21408446212,GRAN CARACAS,0.1412414740399184,16638.982086877586,1,10.8919888405,10815.767056832041,0.41,0.2667,0.004200000000000001,0.0048,0.0139,3.68,0.4253,2e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,35.1,27413.230976268853,90391.98310819326,30948.827428968863,32836,1637.4924757740234,494.781899154741,23.561042816892424,565.4650276054181,117805.21408446212,13300.982086877586,0.02833490882336306,0.20061323358431463,0.002540161161734869,TRUE,0.08884625031671346,0.09209173581726995,0.09046899306699172,0.0817919999771658
VE010109,521,352,133,0,0,36,1151,0,0,4,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,EL RECREO,Caracas,121230.12165125692,GRAN CARACAS,0.08055494595960896,9765.685898293823,1,12.6123642518,9612.006062539409,0.41609999999999997,0.2452,0.0067,5e-4,0.01,3.26,0.45,4e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,36.8,25569.1326441007,95660.98900715623,35972.81326981158,19565,1212.3012165125692,812.2418150634214,48.492048660502775,60.61506082562846,121230.12165125692,9244.685898293823,0.004297611789079635,0.05335006730976517,3.9647212859912124e-4,TRUE,0.05205069790893649,0.02786424843200485,0.03995747317047067,0.03874186779200463
VE010110,2510,1394,273,0,0,0,5493,0,318,8,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,EL VALLE,Caracas,153559.87353059647,GRAN CARACAS,0.1488103951367944,22851.305457244234,1,19.9663630956,7690.928628080322,0.4235,0.324,0.0114,0.0049,0.0213,3.28,0.4474,7.000000000000001e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,31.79,42265.96002574205,111293.91350485441,44416.33343056051,24440,3270.8253062017047,1750.5825582487998,107.49191147141754,752.4433802999226,153559.87353059647,20341.305457244234,0.016345415910360775,0.10984055176612631,0.0019100672606214863,TRUE,0.12210334616659908,0.10010229103681302,0.11110281860170605,0.10477905502914149
VE010111,2065,2045,136,0,0,0,2629,15,0,7,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA PASTORA,Caracas,86398.58602058438,GRAN CARACAS,0.1440798194512469,12448.292674688822,1,7.75939918615,11134.700502946154,0.41659999999999997,0.2872,0.0129,0.0042,0.0129,3.67,0.47600000000000003,0.0021,0.8730914467352194,0.28271811240005584,0.1630146801336042,34.03,21445.702981787654,64952.883038796725,24201.103986262675,12437,1114.5417596655384,1114.5417596655384,181.4370306432272,362.8740612864544,86398.58602058438,10383.292674688822,0.023900854112450586,0.16588620254717942,0.001571429837921661,TRUE,0.06641178399078604,0.09509569402459861,0.08075373900769232,0.07542744679898149
