pcode1,pcode2,pcode3,match_shape,TF
VE01,VE0101,VE010101,VE010101,TRUE
VE01,VE0101,VE010102,VE010102,TRUE
VE01,VE0101,VE010103,VE010103,TRUE
VE01,VE0101,VE010104,VE010104,TRUE
VE01,VE0101,VE010105,VE010105,TRUE
VE01,VE0101,VE010106,VE010106,TRUE
VE01,VE0101,VE010107,VE010107,TRUE
VE01,VE0101,VE010108,VE010108,TRUE
VE01,VE0101,VE010109,VE010109,TRUE
VE01,VE0101,VE010110,VE010110,TRUE
VE01,VE0101,VE010111,VE010111,TRUE
VE01,VE0101,VE010112,VE010112,TRUE
VE01,VE0101,VE010113,VE010113,TRUE
VE01,VE0101,VE010114,VE010114,TRUE
VE01,VE0101,VE010115,VE010115,TRUE
VE01,VE0101,VE010116,VE010116,TRUE
VE01,VE0101,VE010117,VE010117,TRUE
VE01,VE0101,VE010118,VE010118,TRUE
VE01,VE0101,VE010119,VE010119,TRUE
VE01,VE0101,VE010120,VE010120,TRUE
VE01,VE0101,VE010121,VE010121,TRUE
VE01,VE0101,VE010122,VE010122,TRUE
VE02,VE0201,VE020100,VE020100,TRUE
VE02,VE0202,VE020200,VE020200,TRUE
VE02,VE0203,VE020300,VE020300,TRUE
VE02,VE0206,VE020600,VE020600,TRUE
VE03,VE0302,VE030201,VE030201,TRUE
VE03,VE0303,VE030301,VE030301,TRUE
VE03,VE0304,VE030401,VE030401,TRUE
VE03,VE0304,VE030402,VE030402,TRUE
VE03,VE0305,VE030501,VE030501,TRUE
VE03,VE0306,VE030601,VE030601,TRUE
VE03,VE0306,VE030602,VE030602,TRUE
VE03,VE0307,VE030701,VE030701,TRUE
VE03,VE0307,VE030702,VE030702,TRUE
VE03,VE0308,VE030801,VE030801,TRUE
VE03,VE0308,VE030802,VE030802,TRUE
VE03,VE0309,VE030901,VE030901,TRUE
VE03,VE0310,VE031001,VE031001,TRUE
VE03,VE0310,VE031002,VE031002,TRUE
VE03,VE0310,VE031005,VE031005,TRUE
VE03,VE0310,VE031006,VE031006,TRUE
VE03,VE0311,VE031101,VE031101,TRUE
VE03,VE0311,VE031103,VE031103,TRUE
VE03,VE0312,VE031201,VE031201,TRUE
VE03,VE0312,VE031203,VE031203,TRUE
VE03,VE0313,VE031301,VE031301,TRUE
VE03,VE0314,VE031401,VE031401,TRUE
VE03,VE0316,VE031601,VE031601,TRUE
VE03,VE0318,VE031801,VE031801,TRUE
VE03,VE0318,VE031802,VE031802,TRUE
VE03,VE0318,VE031804,VE031804,TRUE
VE03,VE0318,VE031805,VE031805,TRUE
VE03,VE0318,VE031806,VE031806,TRUE
VE03,VE0320,VE032002,VE032002,TRUE
VE04,VE0401,VE040101,VE040101,TRUE
VE04,VE0401,VE040103,VE040103,TRUE
VE04,VE0402,VE040201,VE040201,TRUE
VE04,VE0403,VE040301,VE040301,TRUE
VE04,VE0403,VE040302,VE040302,TRUE
VE04,VE0404,VE040401,VE040401,TRUE
VE04,VE0404,VE040403,VE040403,TRUE
VE04,VE0404,VE040404,VE040404,TRUE
VE04,VE0404,VE040405,VE040405,TRUE
VE04,VE0405,VE040502,VE040502,TRUE
VE04,VE0406,VE040601,VE040601,TRUE
VE04,VE0407,VE040701,VE040701,TRUE
